,Type,Onset,Duration
543,Mic1,543.44425,0.02875
544,Mic1,544.44425,0.02875
545,Mic1,545.44425,0.02775
546,Mic1,546.44425,0.0285
547,Mic1,547.44425,0.0285
548,Mic1,548.44425,0.02875
549,Mic1,549.44425,0.0285
550,Mic1,550.44425,0.0285
551,Mic1,551.44425,0.02775
552,Mic1,552.44425,0.0285
553,Mic1,553.44425,0.0285
554,Mic1,554.44425,0.02775
555,Mic1,555.44425,0.0285
556,Mic1,556.44425,0.0285
557,Mic1,557.44425,0.0285
558,Mic1,558.44425,0.0285
559,Mic1,559.44425,0.0285
560,Mic1,560.44425,0.0285
561,Mic1,561.44425,0.0285
562,Mic1,562.44425,0.02775
563,Mic1,563.44425,0.0285
564,Mic1,564.44425,0.0285
565,Mic1,565.44425,0.02775
566,Mic1,566.444,0.028
567,Mic1,567.444,0.028
568,Mic1,568.444,0.0285
569,Mic1,569.444,0.02775
570,Mic1,570.444,0.02875
571,Mic1,571.444,0.02775
572,Mic1,572.444,0.0285
573,Mic1,573.444,0.0285
574,Mic1,574.444,0.02875
575,Mic1,575.444,0.02875
576,Mic1,576.444,0.0285
577,Mic1,577.444,0.02775
578,Mic1,578.444,0.0285
579,Mic1,579.444,0.0285
580,Mic1,580.444,0.0285
581,Mic1,581.444,0.0285
582,Mic1,582.444,0.0285
583,Mic1,583.444,0.0285
584,Mic1,584.444,0.02775
585,Mic1,585.444,0.0285
586,Mic1,586.444,0.0285
587,Mic1,587.444,0.0285
588,Mic1,588.444,0.0285
589,Mic1,589.444,0.0285
590,Mic1,590.444,0.02775
591,Mic1,591.444,0.02825
592,Mic1,592.444,0.0285
593,Mic1,593.44375,0.02875
594,Mic1,594.44375,0.0285
595,Mic1,595.44375,0.0285
596,Mic1,596.44375,0.02775
597,Mic1,597.44375,0.0285
598,Mic1,598.44375,0.02875
599,Mic1,599.44375,0.0285
